,贵州茅台,五粮液,洋河股份,泸州老窖,山西汾酒
贵州茅台,0.00038033368318518475,0.0003943570407006672,0.00031607486585077634,0.0004450776915357452,0.0003681429808699196
五粮液,0.0003943570407006672,0.0005807831045168611,0.00042283849142162397,0.0005934603338226329,0.0004961539964192763
洋河股份,0.00031607486585077634,0.00042283849142162397,0.0005665243071036537,0.0004856064266859877,0.00042041209558927136
泸州老窖,0.0004450776915357452,0.0005934603338226329,0.0004856064266859877,0.0008019542240647076,0.0005904782137189312
山西汾酒,0.0003681429808699196,0.0004961539964192763,0.00042041209558927136,0.0005904782137189312,0.0007623928435180083
